ETA,PHI,PT
1.26867, 1.83842, 32.1334
1.29057, 1.85469, 15.7925
1.27244, 1.86467, 11.9707
1.26587, 1.86964, 33.6182
@@@,@@@,@@@
-0.0926666, 5.04387, 108.653
0.103288, 4.73298, 0.0444506
0.301983, 5.1127, 0.685121
0.108695, 4.78715, 0.166374
0.0899461, 5.1413, 5.92026
-0.164973, 5.21639, 0.0643296
0.000330221, 5.14222, 7.68559
-0.013766, 5.15326, 7.05167
-0.0997463, 5.15675, 5.24293
-0.0336304, 5.12222, 6.32407
-0.00681694, 5.06623, 0.0175785
-0.0824835, 5.13123, 3.66089
-0.0397522, 4.89643, 0.253721
-0.412824, 5.05782, 0.102368
-0.482518, 4.93399, 0.0687204
-0.0520061, 4.99757, 6.61908
-0.0963864, 5.02075, 6.02433
-0.156943, 4.94419, 4.47953
-0.154754, 4.95969, 2.48478
-0.150483, 4.99661, 25.0607
-0.134254, 4.99318, 0.44247
-0.14252, 4.99922, 10.1504
-0.140054, 5.00082, 16.3843
@@@,@@@,@@@
-0.382047, 1.59399, 101.438
-0.134836, 1.9072, 0.281752
-0.288745, 1.37109, 0.187598
-0.765221, 1.56453, 0.16429
-0.303787, 1.41424, 0.738543
-0.204759, 1.65205, 1.12441
-0.268373, 1.59522, 1.92539
-0.280203, 1.64341, 0.26765
-0.340297, 1.49227, 0.475285
-0.341648, 1.51283, 1.26135
-0.460972, 1.62831, 4.74773
-0.316255, 1.63643, 0.500168
-0.361071, 1.5259, 1.05799
-0.431913, 1.63038, 2.9303
-0.368528, 1.55049, 2.52289
-0.405698, 1.60315, 28.1348
-0.407889, 1.60014, 2.36699
-0.366856, 1.56766, 9.6903
-0.355059, 1.61165, 1.84178
-0.371913, 1.59491, 38.708
-0.373149, 1.58095, 2.56538
@@@,@@@,@@@
-1.25513, 1.50094, 104.095
-1.54334, 1.51746, 0.158183
-1.34503, 1.27999, 0.970726
-1.4122, 1.64594, 0.223465
-1.33737, 1.41441, 1.38262
-1.19199, 1.45208, 9.49651
-1.30999, 1.55615, 7.45521
-1.30308, 1.56345, 1.21807
-1.20047, 1.53787, 7.92357
-1.3004, 1.4857, 7.02375
-1.25107, 1.53679, 2.84218
-1.27058, 1.51632, 11.7993
-1.23845, 1.5036, 19.8687
-1.25458, 1.48388, 4.85901
-1.25293, 1.49522, 22.4183
-1.26409, 1.49537, 6.52259
@@@,@@@,@@@
-1.95928, 0.607134, 106.662
-2.22038, 0.880792, 1.96557
-2.25843, 0.81302, 0.656125
-2.08857, 0.826694, 0.0721797
-2.19732, 0.634596, 3.62018
-2.17329, 0.545053, 11.4687
-1.7096, 0.473268, 0.265778
-1.8175, 0.446712, 2.724
-1.86464, 0.429059, 0.14836
-1.96368, 0.750509, 3.3991
-1.89019, 0.498771, 6.09374
-1.81237, 0.55335, 6.76167
-1.89181, 0.552074, 10.004
-1.85172, 0.611657, 1.80108
-1.84114, 0.613219, 5.23714
-1.9419, 0.556615, 4.88889
-1.87215, 0.663737, 2.37313
-1.91193, 0.612334, 6.0815
-1.89834, 0.642373, 6.72089
-1.93872, 0.625257, 1.59697
-1.93578, 0.637913, 2.73287
-1.94149, 0.648709, 20.4581
-1.93356, 0.652347, 7.88075
@@@,@@@,@@@
-0.132244, 4.01942, 104.809
-0.461835, 4.33584, 1.14161
-0.313238, 4.35485, 0.152472
0.0173113, 3.95477, 2.80141
-0.159929, 4.1589, 4.03027
-0.125467, 4.13882, 0.608844
-0.204755, 3.93818, 3.33537
-0.224329, 4.04327, 2.85227
-0.0436908, 4.06299, 1.93213
-0.129589, 4.10562, 1.20273
-0.0823933, 3.93743, 4.65397
-0.0470855, 3.97889, 1.26324
-0.177501, 4.02213, 4.05137
-0.180889, 4.0358, 10.2181
-0.179844, 4.02625, 4.4416
-0.13109, 3.96014, 5.89113
-0.0959879, 3.96708, 4.32769
-0.151841, 4.01063, 2.97561
-0.129438, 4.02773, 1.57267
-0.112986, 4.01878, 47.5237
@@@,@@@,@@@
1.23287, 4.33108, 109.223
1.26384, 3.9484, 0.664588
1.17355, 3.95333, 1.38063
1.49017, 3.98124, 0.598277
1.21997, 3.99867, 6.10706
1.33001, 4.01628, 0.707198
1.49011, 4.06391, 0.339717
