ETA,PHI,PT
-1.63134, 2.79555, 2.29912
-1.63099, 2.77146, 2.26629
-1.6671, 2.77921, 5.12535
-1.66199, 2.77737, 13.2378
-1.65524, 2.78129, 22.5998
-1.65119, 2.78509, 16.1583
@@@,@@@,@@@
-1.97595, 2.30526, 105.207
-2.34636, 2.24092, 4.64819
-2.09816, 1.965, 0.385825
-2.3539, 2.54163, 1.53658
-2.22273, 2.1133, 1.09496
-2.25153, 2.2758, 3.67653
-2.19248, 2.26858, 0.712344
-2.34148, 2.20088, 1.3367
-1.92582, 2.13352, 1.94796
-1.7573, 2.37758, 1.18075
-1.85391, 2.19967, 0.119267
-1.78988, 2.30414, 0.101949
-2.11564, 2.41926, 1.47108
-1.91047, 2.24329, 12.0271
-1.85499, 2.3364, 0.61458
-1.87231, 2.34622, 15.5484
-1.93682, 2.27383, 9.41883
-1.95043, 2.29878, 2.81484
-1.90928, 2.32211, 14.173
-1.93538, 2.33802, 19.7749
-1.9281, 2.31772, 12.8242
@@@,@@@,@@@
0.618467, 2.50535, 100.251
0.384578, 2.1883, 0.871967
0.928647, 2.62416, 1.79508
1.3524, 2.57854, 0.358936
0.86046, 2.33972, 2.00062
0.856185, 2.6651, 0.547895
0.466317, 2.73704, 3.73461
0.849662, 2.48268, 0.537256
0.609129, 2.70991, 2.96045
0.417879, 2.40831, 3.84
0.509826, 2.65888, 0.998777
0.480831, 2.36017, 1.61412
0.456811, 2.5792, 2.18294
0.667015, 2.60342, 0.72004
0.540651, 2.56601, 3.84318
0.522449, 2.48184, 5.149
0.538165, 2.45231, 2.31299
0.698855, 2.41128, 0.177261
0.559934, 2.54407, 1.82234
0.562864, 2.51746, 1.12376
0.571921, 2.47069, 9.73087
0.616344, 2.43813, 15.0261
0.690733, 2.57128, 1.09958
0.625835, 2.50331, 6.1851
0.661386, 2.49372, 4.42342
0.669893, 2.51737, 27.5623
@@@,@@@,@@@
0.22325, 1.80891, 101.9
0.461481, 1.54105, 0.0445669
0.49746, 1.89601, 0.332886
-0.0302924, 1.87049, 2.07409
0.0348954, 1.63945, 0.0932615
0.0343914, 1.67941, 4.4439
0.292285, 1.96739, 7.4986
0.204169, 1.9615, 7.18231
0.296567, 1.94185, 0.50474
0.100676, 1.86125, 1.99073
0.245605, 1.93522, 0.357431
0.237197, 1.89505, 9.86015
0.270931, 1.8635, 0.866302
0.333498, 1.79655, 1.69146
0.278733, 1.85232, 1.21952
0.268394, 1.83519, 4.19708
0.283674, 1.81711, 7.74276
0.141872, 1.7329, 3.89715
0.285342, 1.77073, 1.78391
0.285727, 1.741, 3.12752
0.21276, 1.71391, 13.6778
0.249049, 1.77831, 2.128
0.235117, 1.76537, 11.8167
0.214276, 1.76578, 14.4467
0.197779, 1.75422, 1.30547
@@@,@@@,@@@
1.86429, 4.88371, 107.145
1.65424, 5.22951, 0.128635
2.0527, 4.69227, 0.639291
1.49081, 4.74773, 0.702576
1.7355, 4.5754, 4.58672
1.7084, 5.17774, 0.406224
1.68427, 4.60373, 0.182688
1.69574, 4.63048, 5.07068
1.65226, 4.97339, 0.296395
1.66418, 5.14044, 1.21332
1.91305, 4.61035, 0.616883
1.64982, 4.83997, 0.547931
1.8816, 4.70545, 2.94522
2.02861, 4.9947, 1.54844
2.02608, 4.86548, 1.12908
2.02514, 4.95886, 0.199154
2.00594, 4.92085, 0.786539
2.01827, 4.90717, 5.46216
2.02005, 4.91158, 2.77989
2.00021, 4.85547, 4.60838
1.81541, 4.75654, 0.300344
1.78824, 4.77745, 4.12337
1.76679, 4.8224, 0.920096
1.90905, 5.07124, 0.490253
1.73273, 4.9463, 7.89724
1.97189, 4.94058, 1.96457
1.91823, 4.85644, 2.95162
1.9196, 4.89696, 4.07382
1.89716, 4.93851, 15.6625
1.90506, 4.94097, 2.07576
1.78796, 4.95878, 3.20031
1.81714, 4.91526, 13.4927
1.8271, 4.9528, 1.35441
1.83567, 4.94843, 15.4766
@@@,@@@,@@@
-0.934698, 4.65324, 103.09
-1.22693, 4.39027, 0.470791
-0.577611, 4.685, 1.09159
-0.610041, 4.73538, 0.170913
-1.36416, 4.89659, 0.0848235
-0.919103, 4.89677, 2.55851
-0.711937, 4.69852, 1.09719
-0.879726, 4.86894, 1.02885
-1.28274, 4.55435, 0.718933
-1.12111, 4.64048, 3.68501
-0.98081, 4.55938, 12.1032
-0.957473, 4.54959, 3.26099
-1.02456, 4.66038, 10.3935
-1.03744, 4.77684, 0.948681
-0.964911, 4.58751, 0.473668
-0.975358, 4.70327, 2.6822
-0.962763, 4.71874, 3.20588
-0.89092, 4.71178, 4.38339
-0.924974, 4.67357, 11.2839
-0.849784, 4.64, 5.21496
-0.862353, 4.61707, 1.49512
-0.897252, 4.61375, 6.05111
-0.909259, 4.65284, 9.12407
