ETA,PHI,PT
1.72518, 0.732383, 2.56234
1.6, 0.686765, 1.11004
1.61558, 0.662778, 4.18972
1.71404, 0.665706, 1.55647
1.6299, 0.6788, 1.47456
1.65556, 0.660124, 5.75171
1.67566, 0.673203, 8.56564
1.67982, 0.665269, 5.15118
1.68863, 0.762926, 2.18047
1.63139, 0.704614, 4.54861
1.66948, 0.740439, 4.31957
1.67422, 0.714759, 1.04375
1.65916, 0.713052, 4.9249
1.66491, 0.722912, 17.9398
@@@,@@@,@@@
-0.0763917, 1.05569, 103.282
0.0935858, 1.397, 0.410771
-0.189286, 1.42073, 0.323338
0.836438, 1.20599, 0.278141
0.0917842, 1.385, 1.08019
0.123927, 1.34375, 3.13171
0.329033, 0.985045, 0.691717
0.266268, 1.05023, 1.95941
0.0771946, 1.34501, 1.99361
-0.384826, 1.25033, 0.186656
0.0998705, 1.32433, 1.11714
0.2043, 1.10564, 0.266116
0.153584, 0.861988, 0.18222
0.144084, 0.879821, 0.0834881
-0.549646, 0.951224, 0.119733
-0.196666, 1.28197, 0.0759458
-0.352779, 1.10669, 0.0294254
-0.143173, 1.27182, 1.38019
-0.111109, 0.799317, 0.0461262
0.00359769, 1.21226, 1.70299
-0.30773, 1.07442, 2.14208
-0.275768, 1.11111, 0.106398
-0.264014, 0.982253, 6.72415
-0.215649, 0.900426, 0.963197
-0.0150768, 1.18647, 0.982145
-0.0520908, 1.19047, 0.397514
0.0550339, 1.10693, 2.45747
-0.229993, 0.948961, 0.638855
-0.242851, 1.01462, 0.615259
-0.120796, 0.877206, 2.37125
-0.170219, 0.965383, 1.56138
-0.126203, 0.970773, 4.06984
-0.120032, 0.972284, 1.75266
-0.107134, 1.08731, 4.36122
-0.105173, 1.042, 19.3741
-0.0655036, 1.02585, 36.9833
-0.079059, 0.986058, 3.29026
@@@,@@@,@@@
-2.23232, 1.03491, 101.141
-2.23133, 0.638293, 0.607502
-2.46411, 0.725195, 0.402571
-2.10483, 1.33861, 1.42575
-2.28812, 0.711557, 0.127661
-2.26261, 1.28651, 0.0642275
-2.19979, 1.25464, 0.249378
-2.39675, 0.938674, 0.906218
-2.29275, 0.877034, 2.10491
-2.23309, 1.20363, 2.53629
-2.07182, 1.00558, 1.50075
-2.07245, 1.03777, 3.21626
-2.14624, 0.93783, 7.29746
-2.40159, 1.01502, 0.484513
