ETA,PHI,PT
-0.522659, 0.541599, 0.755827
-0.674035, 0.809649, 0.335521
-0.54969, 0.88622, 4.39672
-0.434078, 0.647353, 5.12463
-0.626276, 0.749523, 2.40014
-0.511785, 0.67035, 1.24017
-0.459445, 0.73965, 1.9482
-0.556825, 0.730411, 6.12094
-0.508002, 0.727169, 31.6898
-0.520208, 0.7438, 42.2607
-0.524946, 0.761638, 11.9933
@@@,@@@,@@@
0.431988, 4.13431, 104.924
0.430653, 3.79719, 1.14134
0.614799, 4.32031, 0.284054
0.680747, 3.92038, 0.12885
0.307979, 3.97624, 1.74172
0.344181, 4.31822, 1.48287
0.5367, 4.17664, 1.18633
0.515303, 4.10953, 3.09656
0.498161, 4.09153, 2.07994
0.432573, 4.14337, 56.2844
0.422381, 4.13329, 37.6231
@@@,@@@,@@@
1.16194, 0.83344, 109.672
0.869576, 0.585961, 1.05054
1.93983, 0.603921, 0.0856129
1.11691, 0.817257, 10.5016
1.13152, 0.839523, 2.44642
1.16038, 0.818036, 12.2621
1.14862, 0.847472, 3.06467
1.18035, 0.831066, 20.3181
1.16968, 0.846991, 43.7056
1.16353, 0.835513, 16.2791
@@@,@@@,@@@
-2.30622, 5.22472, 109.156
-2.39814, 4.89685, 0.831274
-2.30757, 4.97221, 0.00804249
-2.4155, 5.40465, 1.33738
-2.48808, 5.29293, 0.768022
-2.19071, 5.38207, 0.483576
-2.40941, 5.32431, 0.733595
-2.30841, 5.12017, 1.17356
-2.20842, 5.18488, 4.25871
-2.23318, 5.18928, 6.76472
-2.37197, 5.18652, 5.46951
-2.32416, 5.27234, 2.80887
-2.30551, 5.21583, 13.0243
-2.3021, 5.24378, 4.42024
-2.3062, 5.23202, 61.0229
-2.30035, 5.22824, 6.15278
@@@,@@@,@@@
0.109789, 5.71994, 108.615
-0.125846, 5.40307, 0.26048
-0.274882, 5.76441, 0.425905
0.243516, 6.01236, 0.279775
1.42475, 5.88553, 0.0884806
0.395779, 5.48901, 0.100273
0.113228, 5.82065, 0.0259387
0.118594, 5.71441, 42.1058
0.103911, 5.72327, 65.1925
0.136257, 5.73779, 0.166158
@@@,@@@,@@@
-1.03984, 4.1401, 106.139
-0.706905, 4.18865, 1.24184
-0.739216, 4.1499, 1.20799
-0.900301, 4.15559, 4.00217
-0.961537, 4.03401, 0.438247
-1.07868, 4.26901, 0.830966
-1.01331, 4.22991, 6.61505
-1.00376, 4.05833, 7.31414
-0.999688, 4.20071, 2.01039
-1.03259, 4.07573, 0.404907
-1.01085, 4.0931, 4.91783
-1.01218, 4.13657, 11.392
-1.05243, 4.08504, 1.11121
-1.0484, 4.09172, 7.00816
-1.12208, 4.18262, 0.86837
-1.09849, 4.19104, 2.55282
-1.03332, 4.14242, 4.48315
-1.05289, 4.15735, 6.34003
-1.0645, 4.13079, 4.43809
-1.07688, 4.12863, 12.2189
-1.08291, 4.15008, 25.4343
-1.09819, 4.15897, 1.39879
@@@,@@@,@@@
2.30622, 3.92817, 107.959
2.35918, 3.97103, 0.191242
2.43908, 3.84937, 1.14331
2.29271, 4.07613, 1.66631
2.372, 4.02979, 1.03179
2.35772, 4.01912, 0.76335
2.36525, 3.84039, 3.96586
2.23281, 3.94386, 1.02387
2.2743, 3.98942, 6.49163
2.26132, 3.91408, 1.61993
2.27414, 3.93691, 16.4015
2.34541, 3.91463, 1.26542
2.33746, 3.94608, 7.15785
2.31528, 3.90195, 15.9407
2.30699, 3.92665, 31.0848
2.2981, 3.91887, 18.2779
@@@,@@@,@@@
-0.713307, 3.18582, 102.268
-0.594483, 3.55938, 0.124174
-0.405875, 3.00799, 0.281711
-0.544622, 3.4936, 0.0765437
-0.680692, 3.52212, 0.269155
-0.424513, 3.14382, 1.66873
-0.846845, 3.36118, 0.705273
-0.580174, 3.33994, 3.88724
-0.516654, 3.1729, 0.394053
-0.893911, 3.19882, 0.905835
-0.844, 3.3022, 0.424845
-0.87864, 3.14429, 0.498449
